:START_ID,:END_ID,:TYPE,circled:boolean,citations:string[],confidence:float,context,verification_status
person_206,person_207,RECRUITED,,,0.8,Recruited Jane Doe 43 from South Africa,Unverified
person_007,person_001,RECRUITED,false,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Trafficking/recruitment. Lived as his 'sex slave' 1999-2002. Had sex with her on 16th birthday with Ghislaine Maxwell.,Factual
person_007,person_002,RECRUITED,false,9;8;47;48;51;65;10,0.975,Trafficking/recruitment. Recruited Roberts at age 14 from Mar-a-Lago. Participated in abuse. Roberts sued Maxwell for defamation 2015.,Factual
person_207,person_206,RECRUITED,,,0.8,Recruited from South Africa by Natalya Malychev,Unverified
