:START_ID,:END_ID,:TYPE,citations:string[],confidence:float,context,verification_status
person_135,person_005,INTRODUCED,8,1.0,Introduction event. Wexner was client at Meister's insurance firm,Factual
person_132,person_007,INTRODUCED,47;48;53,1.0,"According to Hoffenberg, Leese introduced them",Factual
person_024,person_133a,INTRODUCED,,0.7,JE claimed Mitchell introduced them,Unverified
person_024,person_132,INTRODUCED,,0.7,"According to Hoffenberg, introduced him to JE",Unverified
person_132,person_001,INTRODUCED,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Allegedly introduced JE to Hoffenberg,Factual
person_135,person_001,INTRODUCED,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Allegedly introduced JE to Les Wexner,Factual
