:START_ID,:END_ID,:TYPE,citations:string[],confidence:float,context,verification_status
person_146,person_001,PROSECUTED_BY,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,"Florida State Attorney during Epstein case, offered lenient deal early 2006",Factual
person_156,person_001,PROSECUTED_BY,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,"U.S. Attorney during Epstein case, oversaw NPA",Factual
person_064,person_001,PROSECUTED_BY,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,"Handled federal matter, negotiated NPA",Factual
person_166,person_001,PROSECUTED_BY,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,ASA involved in JE case,Factual
person_164,person_001,PROSECUTED_BY,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Taken off JE case after grand jury due to conflict of interest,Factual
person_138,person_012,PROSECUTED_BY,65,0.733,Served as solicitor during Monica Lewinsky trial,Unverified
