:START_ID,:END_ID,:TYPE,circled:boolean,citations:string[],confidence:float,context,verification_status
person_001,person_027,ALLEGED_CO_CONSPIRATOR,false,66;67,0.2,Criminal allegation. Traveled together to Thailand in 2001,Speculative
person_067,person_001,ALLEGED_CO_CONSPIRATOR,false,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Criminal allegation. Began working for Epstein circa 1990 when she was minor. Personal assistant and co-conspirator.,Factual
person_011,person_001,ALLEGED_CO_CONSPIRATOR,false,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Criminal conspiracy. $1M line of credit in 2005 to establish MC2. Brunel visited Epstein ~67 times in jail. Filed lawsuit against Epstein 2015 for reputational damages.,Factual
person_002,person_001,ALLEGED_CO_CONSPIRATOR,false,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Criminal trafficking allegation. Met in NYC in 1992 after father's death. Allegedly intimately involved in all of Epstein's crimes. Helped scout and procure girls since mid-1990s.,Factual
