:START_ID,:END_ID,:TYPE,circled:boolean,citations:string[],confidence:float,context,verification_status
person_131,person_001,WORKED_WITH,,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Ran Bear Stearns while JE worked there,Factual
person_011,person_027,WORKED_WITH,false,66;67,0.2,"Co-worker at same organization. Fellow agent at Karin Models Paris, subject of same 60 Minutes sexual assault investigation 1988",Speculative
person_156,person_149,WORKED_WITH,,,0.7,Professional colleague. Befriended Starr at Kirkland Ellis,Unverified
